Date,Metric,Value,Context,Source_URL,Source_Tier,Stock_or_Flow,Interpretation
2024-05-07,AI integrations customers ('next-gen AI'),"~2,000","Q1'24, stated directly",https://www.fool.com/earnings/call-transcripts/2024/05/07/datadog-ddog-q1-2024-earnings-call-transcript/,"T2 - Verbatim call transcript, third-party host",Stock,Earliest quantitative AI disclosure in the window; used the pre-'AI-native' label
2024-05-07,AI-native ('next-gen') share of ARR,~3.5%,"Q1'24, stated directly",https://www.fool.com/earnings/call-transcripts/2024/05/07/datadog-ddog-q1-2024-earnings-call-transcript/,"T2 - Verbatim call transcript, third-party host",Stock,Baseline
2024-06-26,LLM Observability,GA launch,product launch,https://www.datadoghq.com/about/latest-news/press-releases/datadog-llm-observability-is-now-generally-available-to-help-businesses-monitor-improve-and-secure-generative-ai-applications/,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Event,Anchor date for the product's existence
2024-08-08,AI integrations customers,"~2,500","Q2'24, stated directly",https://www.barchart.com/story/news/27920577/datadog-ddog-q2-2024-earnings-call-transcript,"T2 - Verbatim call transcript, third-party host",Stock,+25% vs Q1'24
2024-08-08,AI-native share of ARR,>4%,"Q2'24, stated directly ('in June')",https://www.barchart.com/story/news/27920577/datadog-ddog-q2-2024-earnings-call-transcript,"T2 - Verbatim call transcript, third-party host",Stock,—
2024-11-07,AI-native share of ARR,>6%,Q3'24; contributed ~4pp of YoY growth (vs ~2pp yr-ago),https://investors.datadoghq.com/static-files/e3e6f71c-4207-4296-acd5-b994ab22fe81,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Stock+Flow,"Growth contribution, not just share"
2025-02-13,AI integrations customers,">3,500","Q4'24, stated directly by CEO",https://sergeycyw.substack.com/p/datadog-q4-2024-earnings-analysis,T3 - Third-party analysis/summary (NOT independently confirmed on a primary source this pass),Stock,Verbatim CEO quote embedded in a 3rd-party post; not re-confirmed on a T1 host this pass
2025-02-13,AI-native share of ARR,6%,Q4'24; doubled from 3% in Q4'23; drove 5pp of revenue growth,https://sergeycyw.substack.com/p/datadog-q4-2024-earnings-analysis,T3 - Third-party analysis/summary (NOT independently confirmed on a primary source this pass),Stock+Flow,Same caveat as above
2025-05-06,AI integrations customers,">4,000","Q1'25, stated directly",https://news.alphastreet.com/datadog-inc-ddog-q1-2025-earnings-call-transcript/,"T2 - Verbatim call transcript, third-party host",Stock,—
2025-05-06,AI-native share of ARR,8.5%,"Q1'25; up from 6% QoQ, 3.5% YoY; drove 6pp of YoY growth",https://news.alphastreet.com/datadog-inc-ddog-q1-2025-earnings-call-transcript/,"T2 - Verbatim call transcript, third-party host",Stock+Flow,—
2025-05-06,LLM Observability adopting-company growth,more than doubled,"6-month growth, Q1'25 CEO quote",https://sergeycyw.substack.com/p/datadog-q1-2025-earnings-analysis,T3 - Third-party analysis/summary (NOT independently confirmed on a primary source this pass),Flow,First disclosed LLM Obs adoption growth rate; company-count basis unstated
2025-06-10,AI Agent Monitoring / LLM Experiments / AI Agents Console,GA launch,product launch (DASH 2025),https://investors.datadoghq.com/news-releases/news-release-details/datadog-expands-llm-observability-new-capabilities-monitor,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Event,Agentic-specific capabilities layered onto the LLM Obs base
2025-08-07,AI-native share of Q2 revenue,~11%,"Q2'25; up from ~8% Q1'25 (company's own later rounding), ~4% yr-ago; drove ~10pp of YoY growth",https://investors.datadoghq.com/static-files/4b5b9407-c0e8-4333-b035-ca5b894e8904,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Stock+Flow,—
2025-08-07,AI integrations/tools customers,">4,500",Q2'25 (Fool article paraphrase of the call),https://www.fool.com/investing/2025/08/15/1-magnificent-artificial-intelligence-ai-stock-to/,T3 - Third-party analysis/summary (NOT independently confirmed on a primary source this pass),Stock,NOT independently re-confirmed on the T1 transcript this pass - flagged
2025-11-06,Total Datadog integrations,">1,000",Q3'25 milestone,https://investors.datadoghq.com/static-files/cfa98304-1a07-482b-8d4d-dd074aa050c8,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Stock,"All integrations, not AI-specific; context only"
2025-11-06,LLM span-sending customer growth,more than quadrupled,"recent months, Q3'25",https://investors.datadoghq.com/static-files/cfa98304-1a07-482b-8d4d-dd074aa050c8,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Flow,—
2025-11-06,AI integrations customers,">5,000","Q3'25, stated directly",https://investors.datadoghq.com/static-files/cfa98304-1a07-482b-8d4d-dd074aa050c8,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Stock,—
2025-11-06,AI-native share of revenue,12%,"Q3'25; up from 11% Q2'25, ~6% yr-ago",https://investors.datadoghq.com/static-files/cfa98304-1a07-482b-8d4d-dd074aa050c8,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Stock,—
2025-11-06,AI-native customer count,">500 companies (100 spend $100k+/yr, 15 spend $1M+/yr)","Q3'25, stated directly",https://investors.datadoghq.com/static-files/cfa98304-1a07-482b-8d4d-dd074aa050c8,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Stock,Directly fetched & confirmed on the IR-hosted transcript
2026-02-10,AI-native customer count,~650 (19 spend $1M+/yr; 14 of top 20 AI-native companies are customers),"Q4'25, stated directly",https://investors.datadoghq.com/static-files/71a1a6e1-3028-48a3-90f3-7662b76604e2,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),Stock,Directly fetched & confirmed on the IR-hosted transcript
2026-02-10,AI-native share of revenue,NOT DISCLOSED,"analyst explicitly asked; CFO: ""We didn't -- have not put it in there.""",https://investors.datadoghq.com/static-files/71a1a6e1-3028-48a3-90f3-7662b76604e2,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs),—,Disclosure discontinued from this quarter forward - itself a datapoint
