Variable,Definition,Source,Frequency,Lag,Used_for,Main_limitation
DDOG_Revenue_YoY,"Datadog quarterly revenue, year-over-year % growth",Datadog 10-Q/10-K and quarterly earnings releases (SEC filings),Quarterly,t (target variable),Target variable in all revenue forecasting models; Chart A; KPI Card 1,As-reported; not adjusted for FX or M&A
Customers_100k_YoY,YoY growth in customers with $100k+ ARR,Datadog quarterly earnings releases / calls,Quarterly,t,Google Trends mechanism-validation target; Chart B; KPI Card 4,"Company-rounded figures (""about X"")"
Cloud_Index_Raw,"Equal-weight mean of AWS, Azure and Google Cloud YoY revenue growth","Amazon, Microsoft and Alphabet 10-Q/8-K filings",Quarterly,t-2 in the revenue model,Cloud / Cloud+Trends / AR+Cloud+Trends models; Chart A (raw vs t-2-aligned toggle); KPI Card 2,Hyperscaler revenue mixes many workloads beyond observability-relevant compute
AWS_YoY / Azure_YoY / GoogleCloud_YoY,Component hyperscaler YoY growth rates,"Amazon, Microsoft and Alphabet 10-Q/8-K filings",Quarterly,component of Cloud_Index_Raw,Constructing Cloud_Index_Raw,"Azure figure is company-disclosed rounded growth only, no dollar revenue"
Trend_YoY,"YoY growth in worldwide Google search volume for the term ""Datadog""",Google Trends,"Monthly, aggregated to quarterly",t-1 (revenue model) / t-2 (customer mechanism),Trends / Cloud+Trends / AR+Cloud+Trends models; customer-growth mechanism check; Chart B; KPI Card 3,Search intent unobserved; index rescaled to its own sample-period peak
Quarterly_Trend_Mean,Quarterly mean of the raw (level) Google Trends index,Google Trends,"Monthly, aggregated to quarterly",n/a,Descriptive/dashboard display only,Level trends over time for reasons unrelated to demand; never used as a model input
New_Total_Integrations / Total_YoY_Growth,Flow and growth of Datadog's public integrations catalog,Reconstructed from DataDog/integrations-core and integrations-extras GitHub commit history,Quarterly,"tested at t, t-1, t-2",Screened as a candidate predictor; not retained,"Weak, sign-inconsistent correlation with DDOG revenue/customer growth"
Walk-forward OOS forecasts (6 models),"Expanding-window out-of-sample forecasts of DDOG_Revenue_YoY (Naive, AR(1), Cloud, Trends, Cloud+Trends, AR+Cloud+Trends)","Derived from DDOG_Revenue_YoY, Cloud_Index_Raw and Trend_YoY above",Quarterly,n/a,Chart C,"Only 8 OOS quarters (2024 Q3-2026 Q2); small-sample, indicative only"
Agent Observability KPIs,"Company-disclosed quantitative AI/agent-observability metrics, split into DIRECT evidence (LLM Observability customers & span growth, product launches/naming) and ADJACENT evidence (MCP tool-call growth, AI-native customer count/revenue share, broad AI-integration customer counts, Bits AI)",Datadog earnings-call transcripts and press releases (tiered: primary IR-hosted / verbatim third-party transcript / third-party summary),"Quarterly, as disclosed (irregular)",n/a,Section 3 timeline (color-coded Direct/Adjacent); KPI Card 5 (grouped); Current Operating Read; Forward Research Read,"No absolute dollar figure ever disclosed; AI-native %-of-revenue discontinued after Q3 2025; adjacent metrics are demand context, not direct measures of Agent Observability itself"
next_quarter_forecast.csv (selected_for_dashboard row),"Forward-looking 2026 Q3 Revenue YoY forecast and its USD-million conversion, for the single model flagged selected_for_dashboard=True (currently Trends). Distinct from the historical OOS backtest in walkforward_results.csv.","outputs/next_quarter_forecast.csv, generated by src/.../walkforward_forecast.py (read-only to this dashboard - not recomputed here)",One-off forward forecast (not a recurring historical series),Selected model (Trends) uses Trend_YoY(t-1); data cutoff 2026 Q2 (as_of_quarter),"New '2026 Q3 Revenue Forecast' block, Section 2 (after Chart C)","Model selected by historical OOS directional accuracy (62.5%, 5 of 8 quarters), not by revenue-dollar accuracy (separately reported MAE); based on only 8 OOS quarters - not proof of future predictive performance; a scenario estimate with no calibrated prediction interval"
predicted_revenue_usd_m (Revenue-dollar conversion),"predicted_revenue_usd_m = prior_year_revenue_usd_m x (1 + predicted_revenue_yoy_pct / 100); prior_year_revenue_usd_m is the actual reported 2025 Q3 revenue (ddog_calculated_dataset.csv:Revenue_USDm), never inferred from YoY",next_quarter_forecast.csv (both input columns); cross-checked against ddog_calculated_dataset.csv,One-off,"n/a - a unit conversion, not a model",Forecast block 'Predicted Revenue' and the formula display,Simple point conversion; carries forward all uncertainty in the underlying Revenue YoY forecast with no separate error bars
historical_oos_mae_pp / historical_oos_directional_accuracy_pct (per forecast model),"The SAME main-panel walk-forward metrics already shown in Chart C (MAE in percentage points of Revenue YoY; directional accuracy over 8 OOS quarters), carried onto each model's forward-prediction row for reference","walkforward_results.csv (panel=='main'), reproduced verbatim in next_quarter_forecast.csv","Quarterly (8 OOS quarters, 2024 Q3-2026 Q2)","n/a - describes backtest performance, not the forecast itself",Forecast block's directional-accuracy/MAE facts and the six-model comparison table,"Directional accuracy measures Revenue YoY acceleration/deceleration calls only; MAE (pp) measures the absolute error in predicted Revenue YoY in percentage points, NOT revenue-dollar forecast error. Both metrics are based on only 8 OOS quarters."
