Layer,KPI,Latest_reading,Previous_reading,Growth_change,Update_frequency,Signal_interpretation,Reliability,Source_Tier
A. AI customer penetration,AI-native customer count,~750 (Q2'26),~650 (Q4'25),+15% over 2 quarters (Q1'26 count undisclosed),Quarterly (earnings call),"Cohort keeps widening, not just deepening - breadth, not just concentration in a few whales.",Management-disclosed,"T2 - Verbatim call transcript, third-party host"
A. AI customer penetration,AI-native share of revenue/ARR,NOT DISCLOSED since Q4'25,12% (Q3'25),Disclosure discontinued - cannot compute a change,Was quarterly; now withheld,"Loss of this metric removes the cleanest read on AI-native revenue mix; treat post-Q3'25 as a blind spot, not as stabilization.",Management-disclosed,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
A. AI customer penetration,Customers using ≥1 AI integration,">6,500 (Q1'26)",">5,500 (Q4'25)",+18% QoQ,Quarterly (earnings call),"Broadest AI-adjacent funnel stage; growing faster in absolute adds than the AI-native cohort, consistent with AI usage broadening beyond AI-first companies.",Management-disclosed,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
A. AI customer penetration,AI-integration customers as % of total customers / ARR,20% of customers / 80% of ARR (Q1'26),not disclosed on a comparable basis prior quarter,n/a - first quarter this exact split was given,Quarterly (new in Q1'26),80% of ARR from only 20% of customers restates the familiar Datadog power-law concentration in AI-usage terms; not itself evidence of NEW incremental revenue.,Management-disclosed,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
B. Agent/LLM Observability adoption,LLM Observability customers (absolute),">1,000 (Q4'25)",not disclosed as an absolute count before Q4'25 (only relative growth),First absolute figure disclosed this quarter,Quarterly (started Q4'25),"First time Datadog gave a hard customer count for the product itself, 18 months after GA - a maturity signal.",Management-disclosed,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
B. Agent/LLM Observability adoption,Growth in LLM Obs customers/spans-sending base,"spans up 10x over 6 months (Q4'25); >1,000 customers",customer growth 'more than quadrupled' in recent months (Q3'25),Consistently triple-digit-percent growth every quarter disclosed,Quarterly,"Every disclosure since launch has described acceleration, not deceleration, in adoption - a genuinely unusual streak.",Management-disclosed,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
B. Agent/LLM Observability adoption,"Public GitHub adoption snapshot (fingerprints: DD_LLMOBS_ENABLED, LLMObs.enable, llmobs_enabled)","commit search 207-229 matches; repo search 34-346 repos (current snapshot, Sept 2026)",n/a - no prior snapshot taken,n/a - single point-in-time read,Ad hoc / not yet tracked over time,"NOISY, EXPERIMENTAL. Confirms genuine public developer activity beyond hackathons, but cannot be compared over time without a repeated future snapshot, and code-search (the most direct check) needs an authenticated token this pass could not use.",Experimental public proxy,"EXP - Experimental public proxy (GitHub), not a management disclosure"
C. Usage intensity,LLM span growth,nearly tripled QoQ (Q1'26),spans up 10x over prior 6 months (Q4'25),"Sustained multi-quarter acceleration, no deceleration disclosed yet",Quarterly,The single cleanest usage-volume proxy Datadog gives; consistently the strongest-worded growth metric in every AI section of the call.,Management-disclosed,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
C. Usage intensity,MCP tool-call growth,quadrupled QoQ again; >22x vs Q4'25 (Q2'26),quadrupled QoQ (Q1'26); 11x QoQ (Q4'25),Growth RATE has been roughly stable (~4x QoQ) even as the base grows - i.e. still accelerating in absolute terms,Quarterly (product GA'd 2026-03-09; usage disclosed from Q4'25 preview),The newest and currently the fastest-compounding usage metric Datadog discloses; still very early (small base).,Management-disclosed,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
C. Usage intensity,"Other AI-for-Datadog usage (context, not LLM Obs itself)","Bits AI SRE: 2,000+ trial/paying customers ran investigations in past month (Q4'25)",'thousands of customers' onboarded for access (Q3'25),Preview-to-GA ramp (GA'd Dec 2025),Quarterly,"Adjacent evidence that Datadog's own AI tooling is being used at scale - supports the broader 'AI is driving usage, not replacing it' narrative but is not itself Agent Observability revenue.",Management-disclosed,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
D. Monetization,Billing unit,LLM span (one call to an LLM provider),unchanged since GA,n/a,Static (checked against current docs),"NOT token-based, NOT agent-complexity-based - tool/retrieval/embedding/agent spans are explicitly free. A more complex agent does not mechanically cost more unless it also calls an LLM more often.",Official product data,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
D. Monetization,Free allowance,"40,000 LLM spans/month, 15-day retention",unchanged,n/a,Static,"Low enough to be a genuine trial tier, not a production tier.",Official product data,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
D. Monetization,Pro included spans,"100,000 LLM spans/month included in the $160/mo base",unchanged,n/a,Static,Flat fee up to the cap - revenue per Pro customer does NOT scale with usage until the customer crosses 100K spans/month.,Official product data,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
D. Monetization,Overage pricing beyond 100K spans/mo,NOT PUBLISHED,NOT PUBLISHED,n/a,n/a,Confirmed absent from Datadog's own pricing page and docs; multiple independent third parties confirm the same gap. This is the single biggest reason a real revenue estimate is impossible from public data alone.,Official product data,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
D. Monetization,Retention add-on pricing,"billed 'per 10,000 LLM spans' - exact rate NOT PUBLISHED",unchanged,n/a,Static,"Same gap as overage pricing: the metering UNIT is public, the RATE is not.",Official product data,T1 - Official primary (Datadog IR transcript / press release / 8-K / docs)
